Original Order,Year,Event Type,Game System,Game ID,Title,Long Description,GM Names,Total Rounds,Experience Required,Cost $,Location,Also Runs,Start Date & Time,Short Description,Minimum Players,Prize,Rulex Complexity,Rules Edition,Age Required,End Date & Time,Group,Maximum Players,Materials Provided,Duration,Website,Email,Tournament?,Round Number,Minimum Play Time,Attendee Registration?,Room Name,Table Number,Special Category,Tickets Available,Last Modified
76,1990,COMPUTER GAMING,COMPUTER OPEN GAMING,600024,Computer Showcase,Try the latest and greatest in Amiga and C64 computer games from our extensive library. Runs every hour on the hour. One hour playing time only! On-site ticket sales only.,Milwaukee Area Commodore Enthusiast,1,N,2,"CGA, W. Hall FI. 2","02A, 02B, 03A, 03B, 04A, 04B, 05B,
06A, 06B, 07A, 07B, 08A, 08B, 09A",,,,,,,,,,,,,,,,,,,,,,,
77,1990,COMPUTER GAMING,COMPUTER OPEN GAMING,600023,Open Gaming with Atari   ,Experience the latest and greatest software titles on Atari ST Computers. A ticket will allow you one hour of playing time with your choice of our software titles. Enjoy.,MilAtari Ltd.,1,N,2,"CGA, W. Hall FI. 2","02A, 02B, 03A, 03B, 04A, 04B, 05A,
05B, 06A, 06B, 07A, 07B, 08A, 08B",,,,,,,,,,,,,,,,,,,,,,,
78,1990,COMPUTER GAMING,MIDI MAZE Computer Game,600015,Midi Maze Tournament  ,"Back for ’90, the most popular computer game of GEN CON Game Fair! 13 players link together on terminals to play the most exciting maze game ever made! One hour time limit per ticket.",MilAtari Ltd.,1,N,2,"CGA, W. Hall FI. 2","02B, 03A, 03B, C4A, 05A, 05B, 06B,
07A, 07B, 08A, 09A, 09B, 10A, 10B",,,,,,,,,,,,,,,,,,,,,,,
79,1990,COMPUTER GAMING,RISK Software by Virgin/Mastertronics,600012,Risk  ,Back by popular demand! The classic game of conquest. Only the very best qualify for the finals on Sunday!,Milwaukee Area Commodore Enthusiast,2,N,2,"CGA, W. Hall FI. 2","02A, 05B, 06A, 09B, 10A Final: 13",,,,,,,,,,,,,,,,,,,,,,,
80,1990,FAMILY/COMMERICAL GAMING,ELIXIRn,100007,ELIXIRn Demonstration,"The kingdom’s wackiest wizards are racing to brew the magical Elixir of Life—and you are one of them! No one knows the secret formula.
It changes every game! ","TSR, Inc.",Demo,N,0,"TSRDEM01, Great Hall ","02A, 09B, 10A, 10B, 14A, 14B",,,,,,,,,,,,,,,,,,,,,,,
81,1990,FAMILY/COMMERICAL GAMING,MONOPOLY by Parker Brothers,100014,Official MONOPOLY Tournament,Come play in an official MONOPOLY tournament. Think you’re good with money and financial plans or do you just want to try your hand at an old family favorite? Join in! Fun for everyone!,Christian Link,2,I,2,"AZ, Atrium East","03B, 05B, 07B, 09B, 11B, 13B, 14A",,,,,,,,,,,,,,,,,,,,,,,
82,1990,MINIATURE GAMING,DELTA FORCE by Task Force Games,300011,Operation Snowblind,"20mm buildings & miniatures. Ricardo Escoban’s Death Squad has taken hostages at a Columbian cocaine refinery. Choose your equipment, make your rescue plans and negotiate to buy time & lives.",Eric Young,1,N,2,"W322, W. Game Hall ","C02, 05B, C06, 09B, C10",,,,,,,,,,,,,,,,,,,,,,,
83,1990,MINIATURE GAMING,BATTLESYSTEM Miniatures  ,300073,BATTLESYSTEM Miniatures,"The fantasy battles of legend are about to begin. Fantasy miniatures gaming at its finest with TSR’s new BATTLESYSTEM rules. We’ll
teach the rules, and provide you with an army. Answer Glory’s Call!","TSR, Inc.",Demo ,N,0,"TSRDEM03, Great Hall","02A, 02B, 05B, 06A, 06B, 09B, 10A,
10B",,,,,,,,,,,,,,,,,,,,,,,
84,1990,MINIATURE GAMING,WARHAMMER RULES by Games Workshop,300036,"Dead Head Saga, Have A Nice Day",Individual combat in the 40K Universe. For those who seek the fun of combat but don’t wanna die. Have fun hunting down your friends in a big spaceship. Map 6’ by 4’.,Brian Schmit,1,I,2,"W125, W. Game Hall",02A,,,,,,,,,,,,,,,,,,,,,,,
85,1990,Seminar,,900037,Cyberpunk Flash,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,
86,1990,Demonstration,Spelljammer,400347,Spelljamming for Landlubbers!,"Okay, so what’s SPELLJAMMER campaign rules all about? Try it for yourself in this demonstration. The AD&D game takes on a whole new meaning when its launched into outer space.","TSR, Inc.",Demo ,N,0,"TSRDEM02, Great Hal!",02A,,,,,,,,,,,,,,,,,,,,,,,
87,1990,Seminar,,400350,Advanced GameMaster Workshop,"Join us for the entire day for 5 intense workshops to fine tune your craft as a GM.
Thur: Campaigns, Fri: Adventures, Sat: Encounters & Magic, Sun: GM Techniques. All GMs receive an adventure at end",John Wheeler & Peter Rice,,S,20,"S3, Octagon West","C02A,C02B,C03A,C03B,05A, C05B,C06A,C06B,C07A,09B, C10A,C10B,C11A,C11B ,13A",,,,,,,,,,,,,,,,,,,,,,,
88,1990,Seminar,,400458,How To Survive One Adventure,"What do you do when you misplace your adventure notes? Do you get alarmed and upset? Worry no more! We’ll show you how to create and run effective one-shot scenarios, and run them easily.",Victor Raymond,,N,0,S6,,,,,,,,,,,,,,,,,,,,,,,,
89,1990,Seminar,,400352,ROLE Up A Character,A discussion of what’s important to know about the player character or the non-player characters you play. Six stats do not a character make. ,John Wheeler & Peter Rice,,N,4,,02B,,,,,,,,,,,,,,,,,,,,,,,
90,1990,Seminar,,400359,"You Ve Got a World,..Now What? ",Bring it to life! Examine the steps for creating a campaign to drop into your world...before you have even finished designing it.,John Wheeler & Peter Rice,,I,4,"S3, Octagon West",,,,,,,,,,,,,,,,,,,,,,,,
91,1990,MINIATURE GAMING,BATTLETECH by FASA,300028,Mechwarrior VS Machine,"So, you think you’re some hotshot Mechwarrior? Well, come test yourself against the ultimate—a 386-20mhz Mech. Eight players battle a like tt on the battle field. Programming done in C, by myself",William Dufton ll,3,I,2,"W223, W. Game Hall","03, 04
Semi Final: 05,06 Final: 08",,,,,,,,,,,,,,,,,,,,,,,
92,1990,MINIATURE GAMING,BATTLETECH by FASA,300100,BattleTech Open,"Continuously running event. Complete 3 Lance battles. Top ten players will receive prizes.
Come to FASA booth for opponent assignments, then go to West Hall HQ for table assignments.",FASA,1,I,2,"HQS, W. Game Hall","C03, C06, C07 Semi Final: 10,11 Final: 14",,,,,,,,,,,,,,,,,,,,,,,
93,1990,MINIATURE GAMING,BATTLETECH by FASA,300031,Episode IV-Monster’s Revenge!  ,"Okay, guys and gals. Remember we want only very experienced players, or your character will not survive.",Paul Haertel,1,S,2,"W120, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
94,1990,MINIATURE GAMING,BATTLETECH by FASA,300024,Operation DooLittle,Drop ships for the taking! 3 Lances of Mechs attack a Valley repair facility for Drop Ships.,Damien Daniels,1,I,2,"W119, W. Game Hall ","06, 07, 11",,,,,,,,,,,,,,,,,,,,,,,
95,1990,MINIATURE GAMING,BATTLETECH by FASA,300053,Raid On Harrows Hill,"Just because the fourth succession war is over doesn’t mean you can relax. For even now, the Vultures are swooping in to pick up the pieces of the shattered Successor houses.",Troy Herman,1,I,2,"W217, W. Game Hall",3,,,,,,,,,,,,,,,,,,,,,,,
96,1990,MINIATURE GAMING,BLUE MAX by GDW,300016,WWI Air Battles,"German vs Allied Air Battle. During WWI.
Aircraft will be evenly matched and a point system will be used to determine winner. Up to 24 players.",John Poskin,1,N,2,"W208, W. Game Hall","C03A.03B, C04, 05, C06A",,,,,,,,,,,,,,,,,,,,,,,
97,1990,MINIATURE GAMING,Clay-o-Rama,300022,Claydiator Brawl,Your Play-Doh Gladiator is out for blood. Blood? Nah. Create your own monster from our Play-Doh and battle for Claydiator supremacy. You won’t be held responsible for the carnage!,Jeff Wilder,1,N,2,"W121, W. Game Hall ","04, 05, 09",,,,,,,,,,,,,,,,,,,,,,,
98,1990,MINIATURE GAMING,HOME RULES,300137,Assault on Roarke’s Drift,25mm Zulu battle recreating the historic stand at Roarke’s Drift.,William Hudson,1,I,2,"W307, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
99,1990,MINIATURE GAMING,HOME RULES,300066,Battle of Trafalgar  ,"Introductory level, fast playing set of home grown rules for 1/2000 scale Napoleonic Naval gaming. Recreates the epic British victory over the combined French-Spanish Fleet at Trafalgar, 1805.",Rick Durand,1,N,2,"W212, W. Game Hall","05B, C06A,13B, C14A",,,,,,,,,,,,,,,,,,,,,,,
100,1990,MINIATURE GAMING,HOME RULES,300097,Encounter In A Wheatfield,Civil War skirmish action with the Union surprising a Rebel encampment. Man to man skirmish rules with each player controlling 2-3 characters.,John Seaton,1,N,2,"W324, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
101,1990,MINIATURE GAMING,HOME RULES,300086,Malta Mayhem,"The German Italian Fleet is on the way to bombard Malta. The British Mediterranean Fleet has to stop them. Can they do it? Find out as you command a ship in this computerized Seapower Battle,",Tom Herziger,1,N,2,"AA, Atrium West",C03A,,,,,,,,,,,,,,,,,,,,,,,
102,1990,MINIATURE GAMING,HOME RULES,300091,River Boat Ruckus,"Rebel forces hold a key river junction, gunboats reinforced by shore battles. Union river boats must gain control of the junction & neutralize the batteries. Exciting Civil War Novel Miniatures.",Scott Burke,1,N,2,"W320, W. Game Hall",C03A,,,,,,,,,,,,,,,,,,,,,,,
103,1990,MINIATURE GAMING,INNER CITY Role-Playing Game Rules,300103,Playin’ In The Streets,"You’re down, you’re out, you’ve had it with the straight & narrow and have turned to a life of crime! Live, thrive and survive in this parody of a modern day city.",Christopher Clark,1,N,2,"W209, W. Game Hall ","03B, C04A.06B, C07A.09B,
C10A.12, 13B, C14A",,,,,,,,,,,,,,,,,,,,,,,
104,1990,MINIATURE GAMING,MODERN CONFLICT,300111,Fire Arrow,"Can you save the hostages? Your forces are good, how good are you?",John Zalanka,1,N,2," W222, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
105,1990,MINIATURE GAMING,RENEGADE LEGION by FASA,300039,Circus Raucous!,"You’re screaming around the track in a grav chariot behind 2 tons of rampaging carnivorous beasts, while your opponents beasts are busily making a meal of your gluteus maximus!",Clayton Haldeman,2,N,2,"W315, W. Game Hall ","03, 06, 07,10,11 Final: 13",,,,,,,,,,,,,,,,,,,,,,,
106,1990,MINIATURE GAMING,SPACE HULK by Games Workshop,300029,Space Hulk,"Destroy the Patriarch. A Multi level scenario, using all rules and update. 10 pts. per squad.",Bill Finnegan,1,I,2,"W306, W. Game Hall ",7,,,,,,,,,,,,,,,,,,,,,,,
107,1990,MINIATURE GAMING,UNITED WE STAND,300064,Faces In Farmer Jenkins Field,General Greene decides to have a go at Col. Grahams British Post.,Jim Harms,1,N,2,"W118, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
108,1990,MINIATURE GAMING,WRG GAME RULES,300107,NASAMW Ancients Tournament,"15/25mm miniature battles. 1500 pt army. Revisions and amendments per NASAMW. Play 3 rounds Th & Fr, to qualify for semis. Go to West Hall HQ for rules and table assignments.",Richard Novak,3,S,3,"HQS, W. Game Hall","C04, C06, C08 Semi Final: 11 Final: 13B, 14",,,,,,,,,,,,,,,,,,,,,,,
109,1990,ROLE-PLAYING GAME,"AD&D 2nd Edition Game by TSR, Inc.",400212,"EXP V, Terminal Velocity ","Amidst the winds of change a bird of prey flies.
A beacon shines in darkness. Another pair of eyes. Myani deal was broken. Elders demand repentance. Hunt of infinity, Serve Paul’s sentence. LVL 10-15",Lee Irons—KUGAR,3,S,2,"KGB, Kilbourn","03, 04 Semi Final: 05,07 Final: 09",,,,,,,,,,,,,,,,,,,,,,,
110,1990,ROLE-PLAYING GAME,"AD&D 2nd Edition Game by TSR, Inc.",400259,The Dead Bog ,"The Great Dead Bog, a stagnant waste of lifelessness, has suddenly begun flowing outward, overcoming & destroying a village.
The King wants you to investigate! Levels 8-12.",Richard Emerich,1,S,2,"E504, E. Game Hall Location: E509, E. Game Hall",6,,,,,,,,,,,,,,,,,,,,,,,
111,1990,ROLE-PLAYING GAME,"AD&D 2nd Edition Game by TSR, Inc.",400234,Shadowbane,"The Wizard Sylvas Elventree needs a few good people to fetch the Shadowbane, so his God of neutrality can restore the balance. He’d do it himself, those pesky evil Gods won’t let him.",Randy Croes,1,I,2,"E402, E. Game Hall","06, 10",,,,,,,,,,,,,,,,,,,,,,,
112,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400023,On The Dark Side,"Wanted, several adventurers familiar with the criminal element. To eliminate a grave threat to the city of Port Misk. Maximum danger, maximum reward. Skills at stealth and deception vital.",Karl Allen,3,S,2,"E503, E. Game Hall","04, 05
Semi Final: 06,08 Final: 12",,,,,,,,,,,,,,,,,,,,,,,
113,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400139,Riverquest,"The River Alphir is the lifeblood of the Western lands. The water level has fallen & what flows is foul & pestilent. Find the source of the River and its corruption. Challenging, Lovecraftion, adv.",Stephen Hartley,3,S,2,"E614, E. Game Hall Location: E713, E. Game Hall
Location: E610, E. Game Hall","03, 05
Semi Final: 08,09 Final: 13",,,,,,,,,,,,,,,,,,,,,,,
114,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400016,"Siriwardana II, City Betrayed ","The opening of the water festival honoring the Badiyah family is marred by disappearances and other, more foul disturbances. An arabesque, role-playing problem-solving tournament.",Steve Anderson,3,S,2,"E214, E. Game Hall Location: E314, E. Game Hall Location: E414, E. Game Hall Location: E514, E. Game Hall ",05 Semi Final: 07 Final: 10,,,,,,,,,,,,,,,,,,,,,,,
115,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400226,War On The Surface Dwellers ,"The event gives the characters, a challenge to kill a sovereign king. It has three parts, if they pass parts 1 & 2 they will make it to a final battle in the Kings Palace.",Mike Miller,3,S,2,"E103, E. Game Hall","04
Semi Final: 06,08 Final: 11",,,,,,,,,,,,,,,,,,,,,,,
116,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400284,Back Alley Bugaboos,It’s R & R time between adventures & your tab at the inn exceeds your last haul. To pay the bill you have accepted a job as a courier. It should be a piece of cake. Roleplaying emphasized.,Mark Hansen,2,S,2,"E104, E. Game Hall",05 Final: 09,,,,,,,,,,,,,,,,,,,,,,,
117,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400022,The Bonds of Blood,One in your party of six seasoned professionals had received a most puzzling letter from his cousin urging him to come as quickly as possible to Donagael Near. A puzzle-solving role-playing. ,Steve Miller,2,S,2,"E507, E. Game Hall","04, 06, 08 Final: 10,12",,,,,,,,,,,,,,,,,,,,,,,
118,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400050,"Globe of Gods IV, Take A Stand",It’s been five years since your last adventure dealing with the Globe of Gods. Now word reaches you that something is amiss at the Temple of Grax. The High Priest is missing. Characters provided.,David Cali,2,S,2,"K53, Kilbourn  Location: K55, Kilbourn","06, 07, 08 Final: 11",,,,,,,,,,,,,,,,,,,,,,,
119,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400123,The Gods Must be Dead! ,Darkforce is back and he’s joined forces with the forces of Chaos! Time to join AD&D with Warhammer Bring your own character. No level limit TGMBC #4,Bob “Darkforce” Brinkman,2,S,2,"K45, Kilbourn ",03 Final: 06,,,,,,,,,,,,,,,,,,,,,,,
120,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400210,Muri’s Magic Fun house,Muri-Lord of Jesters has invited you to tour his Funhouse. An offer you can’t refuse! Originally run at the ’87 GEN CON Game Fair this 2nd mini-tourney for anyone. Must bring a sense of humor!,Michael Vain,2,I,2,"E413, E. Game Hall",06 Final: 14,,,,,,,,,,,,,,,,,,,,,,,
121,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400237,"Assault, Temple Of Rat God III","The Thieves Guild thought it had solved the problem. It’s in ruins. Can your characters do better? Emphasis on roleplaying & problem solving. Double-length event, high level BYOC & henchmen?",David Rodemaker,1,S,2," E606, E. Game Hall","03, 06, 07, 09, 10",,,,,,,,,,,,,,,,,,,,,,,
122,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400211,Azion’s Conquest ,"Your Kingdom, Xtar, is at war with the Azarians. Both sides weaken as another force strengthens Azion, the evil Wizard. You must stop Azion or convince the Azarians to join forces with you.",James Smidl,1,S,2,"E313, E. Game Hall","03, 04",,,,,,,,,,,,,,,,,,,,,,,
123,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400403,A Certain Sacrifice   ,"Our tried and true adventures must try to stop the monthly ceremony at the temple of set. In order to do this, your group must steal the objects to be sacificed from the catacombs beneath the temple.",Thomas Gaasch,1,I,2,"E506, E. Game Hall","05, 12, 13",,,,,,,,,,,,,,,,,,,,,,,
124,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400238,The Halls Of Destruction,A module about an attempted takeover of a country by seven Gods.,George Reichel,1,S,2," E111, E. Game Hall","03, 06, 07",,,,,,,,,,,,,,,,,,,,,,,
125,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400091,Hunting We Go-Want Us To What?,"The 8 of you have been hired to hunt Wizards. The last on the list is the toughest of them all. Your Party, 2 witches, A pixie, 2 werics and 3 fighters must destroy Shoctan, before he finds you.",Jeff Leason,1,S,2,"ED5, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
126,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400165,I’m Not Herb!,"It’s finally time for some much needed vacationing in the small town of Birmingham. There should be no problem with that, right?",Jeff Tidball,1,N,2,"E412, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
127,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400028,"Interaction VII, No roll-player    ","Last year’s interaction tournament got one complaint, too much DM. This year we’re back to basics. No books, no dice, no DM story line, just your 8 stories blended together.",Joseph Alford,1,N,2," E213, E. Game Hall","03, 05",,,,,,,,,,,,,,,,,,,,,,,
128,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400003,Isadorlll-Dragonhunt  ,"Things are getting out of hand. The timid Druid is leading the assault, the cleric’s attitude has bloomed, and Humas has returned with a device that might be the end of you all. Role-playing stressed",Stephen Hunting,1,S,2,"E411, E. Game Hall ","06, 15",,,,,,,,,,,,,,,,,,,,,,,
129,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400277,Khyber’s Pass,"Stolen goods. Bandits,of course. Terror,natural & otherwise. In a cold,frozen land where things may not be as they seem, dark powers loom in Khyber’s Pass!",Todd Wallace,1,I,2,"E502, E. Game Hall",6,,,,,,,,,,,,,,,,,,,,,,,
130,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400457,The King’s Convoy,It’s a state emergency and all sailors are called to sea. Individual achievement.,Kim Humphreys,1,S,2,"E511, E. Game Hall",12,,,,,,,,,,,,,,,,,,,,,,,
131,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400393,Night Of Terror ,The Children of the village of Ruskin are vanishing. Who or what is slaying them in the dead of night? Can you even save yourselves? AD&D 1st. ed. rules only.,Mark Zimmer,1,S,2,"K35, Kilbourn ","03, 06",,,,,,,,,,,,,,,,,,,,,,,
132,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400096,The Ogre’s Revenge ,"The Duchi Noitpo has been plagued by Ogres for years. You thought they were gone, wrong! They are striking back at the humans with a vengeance. LVLS 4-7 ",Christopher Weeks,1,I,2,"E406, E. Game Hall",6,,,,,,,,,,,,,,,,,,,,,,,
133,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400113,Orcus Exterminators,Any brave souls out there wish to take on the perils of the Bloodstone Pass? Demon scum just can’t be allowed to run loose. Set in the Forgotten Realms.,Chris Schwanke,1,I,2,"E611, E. Game Hall",3,,,,,,,,,,,,,,,,,,,,,,,
